,conta_contabil,cod_r,nome_conta,saldo_ant,deb,cred,saldo_atual
0,1.0.00.00.00.000000,1.0,A T I V O,1974609.03,15650227.86,15608617.23,1932998.400000001
1,1.1.00.00.00.000000,11.0,ATIVO CIRCULANTE,1632466.5,13830892.74,14120265.45,1921839.209999999
2,1.1.01.00.00.000000,12.0,CAIXA E EQUIVALENTE DE CAIXA,363411.98,4752227.25,5399357.6,1010542.3299999996
3,1.1.01.01.00.000000,13.0,CAIXA GERAL,808.44,16436.72,17549.26,1920.9799999999973
4,1.1.01.01.01.000001,15.0,CAIXA,776.17,18899.8,17525.2,-598.4299999999986
5,1.1.01.02.00.000000,114.0,BANCOS C/MOVIMENTO,298234.76,4812903.06,5082923.69,568255.3900000008
6,1.1.01.02.01.000000,1946.0,BANCOS C/MOVIMENTO,292295.52,4596113.98,5313532.49,1009714.0299999998
7,1.1.01.02.01.000004,11758.0,BANCO ITAU,288249.03,4241947.8,4580846.81,627148.0399999998
8,1.1.01.02.01.000001,118.0,BCO DO BRASIL S/A,0.0,488309.09,443154.61,-45154.48000000004
9,1.1.01.03.00.000000,115.0,APLICACOES FINANCEIRAS,94280.75,349963.16,380370.15,124687.74000000005
10,1.1.01.03.01.000000,1947.0,APLICACOES FINANCEIRAS,88326.69,383659.14,423120.07,127787.62
11,1.1.01.03.01.000070,17188.0,APLICACAO ITAU,91534.34,226667.83,316657.32,181523.83000000002
12,1.1.01.03.01.148304,136049.0,APLICAÇÃO BB AUTOMATICO,31.52,2.18,33.37,62.709999999999994
13,1.1.01.03.01.148305,136050.0,APLICAÇÃO BB AUTOMATICO EMPRESA,733.82,7325.22,7688.41,1097.0099999999998
14,1.1.01.03.01.000001,121.0,BANCO DO BRASIL S/A,0.0,107254.62,80593.91,-26660.709999999992
15,1.1.02.00.00.000000,110.0,CREDITOS POR VENDAS/SERVICOS,333266.1,10205149.44,9187535.5,-684347.8399999995
16,1.1.02.02.00.000000,125.0,CLIENTES,323421.9,9465422.6,9806210.24,664209.5400000006
17,1.1.02.02.01.000000,1959.0,CLIENTES,292719.32,10830906.05,8798516.07,-1739670.6600000004
18,1.1.02.02.01.000001,134.0,CLIENTES,325509.89,4680581.36,4292664.17,-62407.300000000396
19,1.1.02.02.01.000003,11448.0,CLIENTES REMESSAS - C,0.0,2476006.57,2950419.94,474413.3700000001
20,1.1.02.02.01.000002,11447.0,CLIENTES REMESSAS - D,0.0,2477795.83,2725058.71,247262.8799999999
21,1.1.03.00.00.000000,111.0,CREDITOS DIVERSOS,58902.61,210662.87,245432.0,93671.74
22,1.1.03.03.00.000000,141.0,ADIANTAMENTOS A EMPREGADOS,0.0,37812.87,34577.71,-3235.1600000000035
23,1.1.03.03.01.000000,1952.0,ADIANTAMENTOS A EMPREGADOS,0.0,39791.6,38496.89,-1294.7099999999991
24,1.1.03.03.01.000003,172.0,ADIANTAMENTO DE FERIAS,0.0,5925.81,5189.45,-736.3600000000006
25,1.1.03.03.01.000005,11762.0,ADIANTAMENTO DE RESCISAO,0.0,2724.84,3297.67,572.8299999999999
26,1.1.03.03.01.000001,170.0,ADIANTAMENTOS E VALES,0.0,28766.1,27820.45,-945.6499999999978
27,1.1.03.04.00.000000,142.0,ADIANTAMENTOS A FORNECEDORES,38074.44,28733.26,53028.02,62369.2
28,1.1.03.04.01.000000,1953.0,ADIANTAMENTOS A FORNECEDORES,32211.53,9000.86,37361.58,60572.25
29,1.1.03.04.01.088490,19288.0,ADIANTAMENTO A FORNECEDOR,31207.22,8223.61,35426.41,58410.020000000004
30,1.1.03.04.01.402814,136081.0,AMERICA LICENCIAMENTOS,2149.84,1027.24,3070.26,4192.860000000001
31,1.1.03.04.01.350190,132909.0,CARLOS A. DE BRITO TRANSPORTE,498.81,0.0,552.5,1051.31
